benchmark,topology,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_script,interleave,1,5,4,66.76063407212496,67.6319569721818,84.67251434922218,469.6319649165899
resnet_manual_script,interleave,1,6,4,56.385541800409555,57.42374596185982,83.09549698606133,553.1183713632341
resnet_manual_script,interleave,1,7,4,50.211915746331215,51.040633893571794,73.76183103770018,622.2910340461154
resnet_manual_script,interleave,1,8,4,44.04798336327076,45.468426388688385,104.09548133611679,698.5535099121391
resnet_manual_script,interleave,1,9,4,40.87495431303978,42.26068832911551,82.68247591331601,751.5762307666312
resnet_manual_script,interleave,1,10,4,38.07808505371213,39.37217992730439,85.52403375506401,806.7150181332261
resnet_manual_script,interleave,1,11,4,34.81419989839196,36.05160779785365,87.20061415806413,881.0183729417741
resnet_manual_script,interleave,1,12,4,32.75645989924669,33.73086312785745,108.29573404043913,941.6340377536465
resnet_manual_script,interleave,1,13,4,30.85289290174842,32.124710381031036,103.5118498839438,988.7133134359669
resnet_manual_script,interleave,1,14,4,29.208747670054436,30.23039103951305,68.67440696805716,1050.6688055237153
resnet_manual_script,interleave,1,15,4,28.030233923345804,29.13409612607211,110.9517770819366,1090.204710884305
resnet_manual_script,interleave,1,16,4,26.1961012147367,27.210825998336077,88.48882978782058,1167.2607382790302
resnet_manual_script,interleave,1,17,4,26.685879100114107,27.85717128776014,106.57076304778457,1140.1778204937705
resnet_manual_script,interleave,1,18,4,24.73924169316888,26.010674280114472,100.41718510910869,1221.1190106779582
resnet_manual_script,interleave,1,1,8,625.0426559709013,627.214859421365,629.0444298647344,101.2798979262132
resnet_manual_script,interleave,1,2,8,305.99349969998,309.72482114098966,388.865786138922,205.09901888387293
resnet_manual_script,interleave,1,3,8,206.19626017287374,208.48447468597442,250.6170440465212,304.695383364551
resnet_manual_script,interleave,1,4,8,152.88895601406693,157.75296112056822,208.09322921559215,402.68186719772166
resnet_manual_script,interleave,1,5,8,128.30049078911543,131.0910222865641,165.1593390852213,484.5812919296364
